time_seconds,type,message
0.491,"telemetry","packetCounter: 38860 | sampleTimeFine: 10476698 | Roll: -179.56° Pitch: 0.98° Yaw: -179.86° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (-0.76, 0.18, -0.39) deg/s"
0.500,"vibration","📊 ВИБРАЦИЯ: X=0.0086 Y=0.0069 Z=0.3444 | TOTAL=0.3445 m/s²"
0.500,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.500,"telemetry","packetCounter: 38861 | sampleTimeFine: 10476798 | Roll: -179.57° Pitch: 0.98° Yaw: -179.85° | Acc: (-0.15, -0.10, -9.81) m/s² | Gyro: (-0.82, -0.19, -0.22) deg/s"
0.511,"vibration","📊 ВИБРАЦИЯ: X=0.0088 Y=0.0069 Z=0.3444 | TOTAL=0.3446 m/s²"
0.511,"bar","   ███░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.511,"telemetry","packetCounter: 38862 | sampleTimeFine: 10476898 | Roll: -179.57° Pitch: 0.98° Yaw: -179.85° | Acc: (-0.16, -0.10, -9.82) m/s² | Gyro: (-0.38, -0.26, -0.14) deg/s"
0.521,"vibration","📊 ВИБРАЦИЯ: X=0.0053 Y=0.0059 Z=0.0053 | TOTAL=0.0095 m/s²"
0.521,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.521,"telemetry","packetCounter: 38863 | sampleTimeFine: 10476998 | Roll: -179.58° Pitch: 0.99° Yaw: -179.85° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (0.07, -0.68, -0.58) deg/s"
0.531,"vibration","📊 ВИБРАЦИЯ: X=0.0052 Y=0.0058 Z=0.0053 | TOTAL=0.0094 m/s²"
0.531,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.531,"telemetry","packetCounter: 38864 | sampleTimeFine: 10477098 | Roll: -179.57° Pitch: 0.99° Yaw: -179.84° | Acc: (-0.15, -0.11, -9.81) m/s² | Gyro: (-0.30, -0.63, -0.39) deg/s"
0.541,"vibration","📊 ВИБРАЦИЯ: X=0.0052 Y=0.0060 Z=0.0052 | TOTAL=0.0095 m/s²"
0.541,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.541,"telemetry","packetCounter: 38865 | sampleTimeFine: 10477198 | Roll: -179.58° Pitch: 1.00° Yaw: -179.84° | Acc: (-0.16, -0.12, -9.81) m/s² | Gyro: (-0.54, -0.38, -0.38) deg/s"
0.551,"vibration","📊 ВИБРАЦИЯ: X=0.0054 Y=0.0060 Z=0.0052 | TOTAL=0.0096 m/s²"
0.551,"bar","   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░"
0.551,"telemetry","packetCounter: 38866 | sampleTimeFine: 10477298 | Roll: -179.59° Pitch: 1.00° Yaw: -179.84° | Acc: (-0.16, -0.11, -9.81) m/s² | Gyro: (-0.35, 0.12, -0.00) deg/s"
