time_seconds,total,rms_x,rms_y,rms_z,baseline_total,baseline_x,baseline_y,baseline_z,d2,ewma_d2,p_fault,decision
0.018,4.937147,2.840729,3.199438,2.463589,5.851302,3.251273,3.754026,3.088975,89.9878,59.0359,1.0000,FAULT
0.018,4.975199,2.809024,3.283712,2.465607,5.824031,3.237507,3.739387,3.069572,83.7498,60.2716,1.0000,FAULT
0.018,4.759748,2.692549,3.185373,2.293202,5.790903,3.220544,3.722142,3.045405,128.1618,63.6661,1.0000,FAULT
0.018,4.863240,2.743551,3.243184,2.367655,5.762028,3.205697,3.707234,3.024309,97.4082,65.3532,1.0000,FAULT
0.018,4.810059,2.654485,3.233272,2.374096,5.732396,3.188539,3.692481,3.004070,110.6919,67.6202,1.0000,FAULT
0.018,4.716028,2.777707,3.049439,2.286085,5.700759,3.175751,3.672465,2.981721,108.4572,69.6620,1.0000,FAULT
0.018,4.763723,2.690593,3.118439,2.393554,5.671592,3.160650,3.655219,2.963413,90.3762,70.6977,1.0000,FAULT
0.018,4.606771,2.565040,3.158997,2.159547,5.638447,3.142110,3.639773,2.938391,143.1898,74.3223,1.0000,FAULT
0.018,4.731204,2.729288,3.188969,2.183061,5.610208,3.129260,3.625741,2.914880,100.3376,75.6231,1.0000,FAULT
0.019,4.670523,2.576583,3.241492,2.160495,5.580958,3.112057,3.613781,2.891398,123.5166,78.0178,1.0000,FAULT
0.019,4.499917,2.598916,2.967798,2.164962,5.547309,3.096085,3.593673,2.868787,120.1026,80.1220,1.0000,FAULT
0.019,4.503411,2.636669,2.954018,2.145335,5.514815,3.081784,3.573763,2.846268,112.9169,81.7618,1.0000,FAULT
0.019,4.350648,2.534291,2.950941,1.948706,5.478578,3.064743,3.554376,2.818330,158.2885,85.5881,1.0000,FAULT
0.019,4.387374,2.553079,2.931262,2.034340,5.444613,3.048816,3.534981,2.793926,129.4213,87.7798,1.0000,FAULT
0.019,4.362694,2.495538,2.930706,2.053375,5.410936,3.031594,3.516171,2.770875,127.5828,89.7699,1.0000,FAULT
0.019,4.410895,2.574725,2.930971,2.058202,5.379808,3.017373,3.497956,2.748692,107.0893,90.6359,1.0000,FAULT
0.019,4.348902,2.545738,2.872795,2.044313,5.347719,3.002693,3.478497,2.726767,110.1913,91.6136,1.0000,FAULT
0.020,4.079088,2.509477,2.546918,1.963337,5.308230,2.987341,3.449500,2.703004,158.9993,94.9829,1.0000,FAULT
0.020,4.168420,2.582355,2.669413,1.892458,5.272752,2.974735,3.425218,2.677774,151.5097,97.8093,1.0000,FAULT
0.020,4.154638,2.484618,2.737883,1.895173,5.237948,2.959479,3.403823,2.653414,133.3065,99.5841,1.0000,FAULT
0.020,4.079606,2.497287,2.618832,1.883736,5.201893,2.945092,3.379389,2.629456,140.3305,101.6214,1.0000,FAULT
0.020,4.036832,2.525052,2.525984,1.881363,5.165628,2.932018,3.352825,2.606171,146.9031,103.8855,1.0000,FAULT
0.020,4.086589,2.532098,2.506612,2.001394,5.132041,2.919570,3.326485,2.587346,113.8906,104.3858,1.0000,FAULT
0.020,3.958103,2.497009,2.431649,1.875797,5.095500,2.906417,3.298632,2.565198,145.4403,106.4385,1.0000,FAULT
0.020,3.983777,2.557688,2.433314,1.845994,5.060896,2.895562,3.271697,2.542811,151.6380,108.6985,1.0000,FAULT
0.021,3.939193,2.464094,2.448350,1.857703,5.025981,2.882132,3.246069,2.521486,127.6913,109.6481,1.0000,FAULT
0.021,3.963994,2.473258,2.536240,1.778687,4.992924,2.869405,3.223974,2.498365,126.4916,110.4903,1.0000,FAULT
0.021,3.911034,2.517185,2.413045,1.771208,4.959249,2.858441,3.198733,2.475731,144.3373,112.1826,1.0000,FAULT
0.021,3.804831,2.402135,2.389530,1.731077,4.923315,2.844238,3.173545,2.452552,140.3096,113.5890,1.0000,FAULT
0.021,3.792244,2.465063,2.283272,1.758193,4.888109,2.832435,3.145834,2.430939,148.2830,115.3237,1.0000,FAULT
0.021,3.842401,2.452124,2.395603,1.735576,4.855559,2.820597,3.122481,2.409295,123.6730,115.7412,1.0000,FAULT
0.021,3.762797,2.391147,2.352252,1.705276,4.821545,2.807230,3.098507,2.387381,126.6096,116.2846,1.0000,FAULT
0.021,3.805426,2.444867,2.370784,1.698022,4.789916,2.795951,3.075855,2.365923,121.1022,116.5255,1.0000,FAULT
0.021,3.777239,2.435428,2.410571,1.589144,4.758395,2.784729,3.055147,2.341745,136.1825,117.5083,1.0000,FAULT
